establishment_id,establishment_name,mgr_id,zipcode,lat,long,city,state,no_of_rooms
0,Supertel Cornelia,24631,30531,34.51017,-83.59103,Cornelia,GA,289
1,Supertel Stillwater,16343,17878,41.1721,-76.32364,Stillwater,PA,203
2,Supertel Grand Isle,39210,70358,29.21367,-90.0306,Grand Isle,LA,207
3,Supertel Leopolis,3627,54948,44.7774,-88.88823,Leopolis,WI,27
4,Supertel Nacogdoches,43215,75964,31.63334,-94.75057,Nacogdoches,TX,20
5,Supertel Wilmore,30607,15962,40.38942,-78.71644,Wilmore,PA,56
6,Supertel Staten Island,23625,10304,40.60671,-74.0931,Staten Island,NY,133
7,Supertel Edmore,23260,48829,43.40027,-85.02037,Edmore,MI,200
8,Supertel New Sharon,16530,4955,44.63998,-70.00799,New Sharon,ME,39
9,Supertel Deweese,33003,68934,40.33831,-98.15962,Deweese,NE,189
10,Supertel Chocorua,49418,3817,43.8885,-71.23358,Chocorua,NH,86
11,Supertel Aberdeen,5263,45101,38.69164,-83.74024,Aberdeen,OH,171
12,Supertel Beaufort,15019,28516,34.84827,-76.61128,Beaufort,NC,188
13,Supertel Fairborn,20666,45324,39.81986,-84.00026,Fairborn,OH,130
14,Supertel Julesburg,17718,80737,40.88974,-102.19267,Julesburg,CO,142
15,Supertel North Bend,8834,98045,47.48276,-121.65678,North Bend,WA,144
16,Supertel Stillwater,8232,74075,36.17151,-97.0774,Stillwater,OK,103
17,Supertel Oxford,39645,36203,33.58205,-85.83312,Oxford,AL,82
18,Supertel Little River,21132,36550,31.25212,-87.74294,Little River,AL,282
19,Supertel Esperance,33457,12066,42.78011,-74.30291,Esperance,NY,283
20,Supertel Piercefield,15253,12973,44.30279,-74.59187,Piercefield,NY,20
21,Supertel Grant,3184,70644,30.79078,-92.94924,Grant,LA,125
22,Supertel Desert Center,44368,92239,33.87424,-115.24396,Desert Center,CA,80
23,Supertel Tanner,29947,35671,34.66607,-86.95191,Tanner,AL,158
24,Supertel Olympia,49346,98501,46.9783,-122.86989,Olympia,WA,272
25,Supertel Forest City,4551,61532,40.34851,-89.80692,Forest City,IL,179
26,Supertel Vancourt,41529,76955,31.29919,-100.1389,Vancourt,TX,39
27,Supertel Olga,21847,98279,48.64474,-122.80602,Olga,WA,279
28,Supertel Tacoma,19048,98466,47.22842,-122.53479,Tacoma,WA,128
29,Supertel Prairie Hill,7179,76678,31.65009,-96.75087,Prairie Hill,TX,157
30,Supertel Nineveh,25620,46164,39.3036,-86.12301,Nineveh,IN,116
31,Supertel Encino,42104,88321,34.76815,-105.45564,Encino,NM,284
32,Supertel Paradis,41648,70080,29.8743,-90.43227,Paradis,LA,162
33,Supertel Cameron,40013,70631,29.86692,-93.55404,Cameron,LA,35
34,Supertel Red Valley,42677,86544,36.58162,-109.13818,Red Valley,AZ,157
35,Supertel Bloomington,47410,12411,41.87975,-74.04094,Bloomington,NY,129
36,Supertel Windsor,25022,5089,43.49686,-72.4515,Windsor,VT,58
37,Supertel Lyle,48904,55953,43.52772,-92.96521,Lyle,MN,39
38,Supertel Point Arena,7915,95468,38.9094,-123.60372,Point Arena,CA,274
39,Supertel Phoenix,48897,85009,33.44457,-112.12661,Phoenix,AZ,24
40,Supertel Orchard,37815,77464,29.61807,-95.94148,Orchard,TX,206
41,Supertel Leadore,32953,83464,44.48105,-113.20271,Leadore,ID,192
42,Supertel Kettlersville,35582,45336,40.44256,-84.25988,Kettlersville,OH,68
43,Supertel Memphis,16545,38119,35.07986,-89.84593,Memphis,TN,29
44,Supertel Chaparral,49503,88081,32.24958,-106.28821,Chaparral,NM,20
45,Supertel Fresno,22890,93725,36.62667,-119.73501,Fresno,CA,204
46,Supertel New Trenton,44937,47035,39.31016,-84.90394,New Trenton,IN,24
47,Supertel Mckeesport,17565,15131,40.33477,-79.80132,Mckeesport,PA,196
48,Supertel Medford,12706,97504,42.32757,-122.80068,Medford,OR,185
49,Supertel Kunkletown,29384,18058,40.8922,-75.49094,Kunkletown,PA,128
50,Supertel Montreal,36805,65591,37.97941,-92.59076,Montreal,MO,170
51,Supertel Waterbury,24349,6710,41.56958,-73.04598,Waterbury,CT,172
52,Supertel Leesville,31818,29070,33.91742,-81.45517,Leesville,SC,252
53,Supertel Batchtown,12444,62006,39.06433,-90.66714,Batchtown,IL,243
54,Supertel Hoxie,29190,72433,36.02582,-91.04446,Hoxie,AR,116
55,Supertel Murray,9863,50174,41.03723,-93.96167,Murray,IA,49
56,Supertel Titusville,22309,8560,40.31453,-74.85946,Titusville,NJ,27
57,Supertel Clyde,1870,66938,39.58018,-97.41081,Clyde,KS,267
58,Supertel Woodman,7853,53827,43.05049,-90.83702,Woodman,WI,209
59,Supertel Mattapan,10704,2126,42.27588,-71.0918,Mattapan,MA,260
60,Supertel Prattville,46576,36066,32.48216,-86.42431,Prattville,AL,267
61,Supertel Bethel,20911,12720,41.65794,-74.90029,Bethel,NY,291
62,Supertel Toddville,14558,52341,42.10535,-91.7341,Toddville,IA,103
63,Supertel Canton,35736,44718,40.85122,-81.44806,Canton,OH,291
64,Supertel High Ridge,37731,63049,38.47795,-90.52867,High Ridge,MO,245
65,Supertel Middlebranch,43196,44652,40.90088,-81.33015,Middlebranch,OH,82
66,Supertel Stony Ridge,6846,43463,41.51141,-83.50511,Stony Ridge,OH,159
67,Supertel Foster,46846,73434,34.62083,-97.58286,Foster,OK,186
68,Supertel Marshalltown,23261,50158,42.05016,-92.90143,Marshalltown,IA,159
69,Supertel Byron,18914,61010,42.136,-89.26751,Byron,IL,179
70,Supertel Escalon,42795,95320,37.82453,-121.01545,Escalon,CA,67
71,Supertel Eastern,42900,41622,37.51377,-82.80925,Eastern,KY,111
72,Supertel Louisville,23000,40203,38.24722,-85.765,Louisville,KY,101
73,Supertel Hillsborough,5403,27278,36.08673,-79.08778,Hillsborough,NC,144
74,Supertel Callaway,36299,24067,37.03737,-80.06884,Callaway,VA,215
75,Supertel Chattanooga,49691,37407,35.002,-85.28941,Chattanooga,TN,284
76,Supertel Tallmansville,9464,26237,38.84769,-80.15145,Tallmansville,WV,255
77,Supertel Silver Spring,42011,20903,39.02128,-76.9821,Silver Spring,MD,118
78,Supertel Dolgeville,48604,13329,43.11094,-74.70017,Dolgeville,NY,205
79,Supertel Montrose,41650,71658,33.32018,-91.57635,Montrose,AR,237
80,Supertel Wise,17772,27594,36.47294,-78.16622,Wise,NC,219
81,Supertel Grand Haven,41433,49417,43.01519,-86.14387,Grand Haven,MI,201
82,Supertel Farmersville,37954,45325,39.69297,-84.4269,Farmersville,OH,130
83,Supertel Ontario,24697,91761,34.03541,-117.5915,Ontario,CA,92
84,Supertel Ohatchee,30589,36271,33.78215,-86.01624,Ohatchee,AL,100
85,Supertel Santa Fe,31185,38482,35.76792,-87.14574,Santa Fe,TN,232
86,Supertel Centerville,10831,52544,40.71774,-92.90831,Centerville,IA,76
87,Supertel Lempster,42751,3605,43.22815,-72.18032,Lempster,NH,121
88,Supertel Stafford,29654,67578,37.96922,-98.59105,Stafford,KS,285
89,Supertel Pierson,27887,49339,43.33574,-85.49454,Pierson,MI,113
90,Supertel North Zulch,8718,77872,30.88539,-96.0971,North Zulch,TX,123
91,Supertel Tomahawk,19963,41262,37.85112,-82.61377,Tomahawk,KY,98
92,Supertel Dongola,41202,62926,37.3692,-89.13589,Dongola,IL,159
93,Supertel Walhonding,2022,43843,40.33485,-82.17711,Walhonding,OH,177
94,Supertel Hosmer,19771,57448,45.61196,-99.41859,Hosmer,SD,176
95,Supertel Tazewell,15001,24651,37.07732,-81.50054,Tazewell,VA,54
96,Supertel Mount Vernon,7084,10550,40.90627,-73.8351,Mount Vernon,NY,251
97,Supertel Bowling Green,45996,43402,41.40957,-83.65389,Bowling Green,OH,88
98,Supertel Osterville,25082,2655,41.62972,-70.39263,Osterville,MA,91
99,Supertel Ogallah,49575,67656,38.98565,-99.75549,Ogallah,KS,271
100,Supertel Bastian,44941,24314,37.17166,-81.20728,Bastian,VA,20
101,Supertel Gas City,27082,46933,40.47887,-85.58091,Gas City,IN,126
102,Supertel Hannawa Falls,42141,13647,44.6017,-74.99264,Hannawa Falls,NY,212
103,Supertel Van Horn,39438,79855,30.92331,-104.85583,Van Horn,TX,292
104,Supertel Des Plaines,14856,60016,42.05232,-87.8899,Des Plaines,IL,40
105,Supertel Clute,49031,77531,29.03895,-95.40071,Clute,TX,87
106,Supertel Sebastian,39058,78594,26.34704,-97.8037,Sebastian,TX,78
107,Supertel Falls Village,45928,6031,41.95788,-73.31733,Falls Village,CT,168
108,Supertel Tacoma,11530,98447,47.14531,-122.44392,Tacoma,WA,233
109,Supertel Hardin,21688,64035,39.28796,-93.81972,Hardin,MO,132
110,Supertel Farnhamville,13916,50538,42.28422,-94.43024,Farnhamville,IA,141
111,Supertel Sanford,47375,23426,37.92706,-75.67506,Sanford,VA,167
112,Supertel Mardela Springs,31445,21837,38.4594,-75.76731,Mardela Springs,MD,120
113,Supertel Ivanhoe,33682,56142,44.4711,-96.2327,Ivanhoe,MN,46
114,Supertel Oscoda,22419,48750,44.44338,-83.45652,Oscoda,MI,93
115,Supertel Worcester,43121,1604,42.25085,-71.7683,Worcester,MA,130
116,Supertel Grand Lake,38168,80447,40.30116,-105.81712,Grand Lake,CO,147
117,Supertel Friedens,47111,15541,40.04905,-78.98076,Friedens,PA,252
118,Supertel Valley Lee,41809,20692,38.18352,-76.50682,Valley Lee,MD,213
119,Supertel Wichita,28638,67209,37.6639,-97.43463,Wichita,KS,97
120,Supertel Ridgeway,26544,53582,43.01791,-89.99106,Ridgeway,WI,177
121,Supertel Fresno,34641,93727,36.75119,-119.69736,Fresno,CA,116
122,Supertel Tunnelton,36957,47467,38.76776,-86.34463,Tunnelton,IN,193
